Disease,symptom_1,symptom_2,symptom_3,symptom_4,Type,Severity_Level
Common cold,sneezing, runny nose, sore throat, cough,Viral,Mild
Influenza (seasonal flu),fever, dry cough, sore throat, muscle ache,Viral,Moderate
COVID-19,fever, cough, fatigue, loss of taste/smell,Viral,Severe
Measles,high fever, cough, runny nose, rash,Viral,Severe
Mumps,parotid gland swelling, fever, headache,,Viral,Moderate
Rubella (German measles),rash, low-grade fever, swollen lymph nodes,,Viral,Mild
Poliomyelitis (polio),fever, fatigue, headache, muscle pain,Viral,Severe
Chickenpox (varicella),fever, itchy rash, fatigue,,Viral,Moderate
Shingles (herpes zoster),painful rash along nerve, itching,,,Viral,Moderate
RSV infection,wheezing, runny nose, cough,,Viral,Moderate
HIV/AIDS,fever, rash, weight loss, persistent cough,Viral,Severe
Human papillomavirus (HPV) infection,warts on skin or genitals (often asymptomatic),,,,Viral,Mild
Herpes simplex type 1 (oral herpes),cold sores on lips, fever blisters,,,Viral,Mild
Herpes simplex type 2 (genital herpes),genital sores, pain,,,Viral,Mild
Hepatitis A,nausea, vomiting, fatigue, jaundice,Viral,Moderate
Hepatitis B,fatigue, joint pain, jaundice,,Viral,Moderate
Hepatitis C,fatigue, joint pain, jaundice (often chronic),,Viral,Moderate
West Nile virus infection,fever, headache, rash (often mild),,Viral,Moderate
Ebola virus disease,high fever, severe headache, vomiting, hemorrhage,Viral,Severe
Dengue fever,high fever, severe headache, joint pain, rash,Viral,Severe
Zika virus infection,fever, rash, joint pain, conjunctivitis,Viral,Mild
Yellow fever,fever, headache, muscle pain, nausea,Viral,Severe
Japanese encephalitis,fever, headache, vomiting, neurological signs,Viral,Severe
Rabies,fever, headache, hypersalivation, paralysis,Viral,Severe
SARS (severe acute respiratory syndrome),fever, cough, difficulty breathing,,Viral,Severe
MERS (Middle East respiratory syndrome),fever, cough, shortness of breath,,Viral,Severe
Rotavirus infection,severe diarrhea, vomiting, fever,,Viral,Moderate
Norovirus infection,nausea, vomiting, diarrhea,,Viral,Moderate
Hand-foot-and-mouth disease,fever, sore throat, mouth sores, rash,Viral,Mild
